title,url,year
Mike Müller: Faster Python Programs through Optimization,https://www.youtube.com/watch?v=wNBJDpyRm8w,2014
"M. Pirnat, D. Stanek: Shiny, Let's Be Bad Guys: Exploiting and Mitigating the Top 10",https://www.youtube.com/watch?v=nQOahpei6kw,2014
Paul Everitt: Python 3/2 Web Development with Pyramid,https://www.youtube.com/watch?v=Qvo3zWItBjo,2014
David Beazley: Generators: The Final Frontier,https://www.youtube.com/watch?v=D1twn9kLmYg,2014
Krishna Sankar: Data Wrangling for Kaggle Data Science Competitions -- An etude,https://www.youtube.com/watch?v=zwa9uc0LpXo,2014
Aurynn Shaw: Let's Learn Twisted Python,https://www.youtube.com/watch?v=XTMsUuWX02Q,2014
"Tracy Osborn, David Wolever: Django for Web Designers and Front End Developers",https://www.youtube.com/watch?v=-l3ILra8ewI,2014
"Rupa Dachere, Akkana Peck: Build your own PiDoorbell! Home Automation with Python",https://www.youtube.com/watch?v=i62piPQkUtA,2014
Stuart Williams: Python Epiphanies,https://www.youtube.com/watch?v=Uyj2UFTL_vg,2014
"Olivier Grisel, Jake Vanderplas: Diving deeper into Machine Learning with Scikit-learn",https://www.youtube.com/watch?v=FOZvHx-43pg,2014
Jim Blomo: mrjob: Snakes on a Hadoop,https://www.youtube.com/watch?v=txT_sA1malk,2014
Eric Ma: How to formulate a (science) problem and analyze it using Python code,https://www.youtube.com/watch?v=j7AYwU7GcTs,2014
"Jake Vanderplas, Olivier Grisel: Exploring Machine Learning with Scikit-learn",https://www.youtube.com/watch?v=HjAB45qsx_c,2014
Jessica McKellar: A hands-on introduction to Python for beginning programmers,https://www.youtube.com/watch?v=MirG-vJOg04,2014
Mike Müller: Descriptors and Metaclasses - Python's More Advanced Features,https://www.youtube.com/watch?v=W0c5sjxajI4,2014
G. Clifford Williams: 0 to 00111100 with web2py,https://www.youtube.com/watch?v=GeQt7CxzmPo,2014
"Kenneth Love: Getting Started with Django, a crash course",https://www.youtube.com/watch?v=KZHXjGP71kQ,2014
Matthew Russell: Mining Social Web APIs with IPython Notebook,https://www.youtube.com/watch?v=jpCG792tVt0,2014
Keynote - Guido van Rossum,https://www.youtube.com/watch?v=G-uKNd5TSBw,2015
Keynote  - Gabriella Coleman,https://www.youtube.com/watch?v=lNqtyi3sM-k,2015
Type Hints  - Guido van Rossum,https://www.youtube.com/watch?v=2wDvzy6Hgxg,2015
Closing Messages,https://www.youtube.com/watch?v=6_FOOvoBcZI,2015
Jim Baker - Getting to Jython 2.7 and beyond,https://www.youtube.com/watch?v=hLm3garVQFo,2015
Mike Howsden - Zen of Quality - How PBS measures QoS for digital viewers,https://www.youtube.com/watch?v=Q94pNl6jzuk,2015
Luke Sneeringer - Improve your development environments with virtualization,https://www.youtube.com/watch?v=Dg_vPMnC7_k,2015
Thomas Ballinger - Terminal whispering,https://www.youtube.com/watch?v=WAitSilLDUA,2015
Geoff Gerrietts - Performance by the Numbers: analyzing the performance of web applications,https://www.youtube.com/watch?v=UAztOuO1ANQ,2015
Curtis Lassam - Hash Functions and You: Partners in Freedom,https://www.youtube.com/watch?v=IGwNQfjLTp0,2015
"Mica Swyers, Jay Chan - Finding Spammers & Scammers through Rate Tracking with Python & Redis",https://www.youtube.com/watch?v=tIBkiXvEAC0,2015
Christine Spang - WebSockets from the Wire Up,https://www.youtube.com/watch?v=u5QT3luWx7w,2015
Tom Eastman - Serialization formats are not toys,https://www.youtube.com/watch?v=kjZHjvrAS74,2015
---Incomplete talk --- A. Jesse Jiryu Davis - Python Performance Profiling: The Guts And The Glory,https://www.youtube.com/watch?v=4uJWWXYHxaM,2015
"Pete Fein - Free Software, Free People",https://www.youtube.com/watch?v=A3dimvwrnO8,2015
Sarah Bird - Interactive data for the web - Bokeh for web developers,https://www.youtube.com/watch?v=O5OvOLK-xqQ,2015
Andrew Montalenti - streamparse: real-time streams with Python and Apache Storm,https://www.youtube.com/watch?v=ja4Qj9-l6WQ,2015
"Ying Li - Where in your RAM is ""python san_diego.py""?",https://www.youtube.com/watch?v=tMKXcc2-xO8,2015
Hynek Schlawack - Beyond grep: Practical Logging and Metrics,https://www.youtube.com/watch?v=gqmAwK0wNyw,2015
Smart services & smart clients:  How micro-services change the way you build and deploy code.,https://www.youtube.com/watch?v=NYVUn8T-0qA,2015
Christine Spang - To ORM or not to ORM,https://www.youtube.com/watch?v=Sadng6tR7Q4,2015
Keynote - Jacob Kaplan-Moss,https://www.youtube.com/watch?v=hIJdFxYlEKE,2015
Keynote - Van Lindberg,https://www.youtube.com/watch?v=lvlfTZzJ2_Q,2015
Lightning Talks - April 11th 17h30,https://www.youtube.com/watch?v=JVVMMULwR4s,2015
Lightning Talks - April 12th 08h30,https://www.youtube.com/watch?v=ZEE3dlo7ov0,2015
"Kathleen Danielson - Avoiding Burnout, and other essentials of Open Source Self-Care",https://www.youtube.com/watch?v=RbeHBnWfXUc,2015
Jim Baker - A Winning Strategy with The Weakest Link: how to use weak references…,https://www.youtube.com/watch?v=NknSssmLk4w,2015
Colton Myers - Managing Your Infrastructure with SaltStack,https://www.youtube.com/watch?v=y-zQUqMHRX4,2015
"Nicholas Tollervey - Lessons learned with asyncio (""Look ma, I wrote a distributed hash table!"")",https://www.youtube.com/watch?v=1eew8BngN7Y,2015
Clayton Parker - So you think you can PDB?,https://www.youtube.com/watch?v=P0pIW5tJrRM,2015
Sasha Laundy - Your Brain's API: Giving and Getting Technical Help,https://www.youtube.com/watch?v=hY14Er6JX2s,2015
"Brandon Rhodes - Oh, Come On Who Needs Bytearrays",https://www.youtube.com/watch?v=z9Hmys8ojno,2015
A. Jesse Jiryu Davis - Eventually Correct: Testing Async Apps,https://www.youtube.com/watch?v=GpvCSkxLiZo,2015
